[Mon Jul 23 19:03:08.977391 2018] [php7:notice] [pid 2660] [client 192.168.0.45:38868] PHP Fatal error:  Uncaught Zend\\Expressive\\Router\\Exception\\DuplicateRouteException: Duplicate route detected; path "/" answering to methods [GET], with name "home" in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php:173\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php(71): Zend\\Expressive\\Router\\RouteCollector->checkForDuplicateRoute('/', Array)\n#1 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(129): Zend\\Expressive\\Router\\RouteCollector->route('/', Object(Zend\\Expressive\\Middleware\\LazyLoadingMiddleware), Array, 'petition.popier...')\n#2 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(141): Zend\\Expressive\\Application->route('/', 'Page\\\\Handler\\\\Pa...', Array, 'petition.popier...')\n#3 /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php(70): Zend\\Expressive\\Application->get('/', 'Page\\\\Handler\\\\Pa...', 'petition.popier...')\n#4 /var/www/appl in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 771
[Mon Jul 23 19:03:30.932267 2018] [php7:notice] [pid 2546] [client 192.168.0.45:38870] PHP Fatal error:  Uncaught Zend\\Expressive\\Router\\Exception\\DuplicateRouteException: Duplicate route detected; path "/" answering to methods [GET], with name "home" in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php:173\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php(71): Zend\\Expressive\\Router\\RouteCollector->checkForDuplicateRoute('/', Array)\n#1 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(129): Zend\\Expressive\\Router\\RouteCollector->route('/', Object(Zend\\Expressive\\Middleware\\LazyLoadingMiddleware), Array, 'petition.popier...')\n#2 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(141): Zend\\Expressive\\Application->route('/', 'Page\\\\Handler\\\\Pa...', Array, 'petition.popier...')\n#3 /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php(70): Zend\\Expressive\\Application->get('/', 'Page\\\\Handler\\\\Pa...', 'petition.popier...')\n#4 /var/www/appl in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 771
[Mon Jul 23 19:04:01.836388 2018] [php7:notice] [pid 2662] [client 192.168.0.45:38872] PHP Fatal error:  Uncaught Zend\\Expressive\\Router\\Exception\\DuplicateRouteException: Duplicate route detected; path "/" answering to methods [GET], with name "home" in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php:173\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php(71): Zend\\Expressive\\Router\\RouteCollector->checkForDuplicateRoute('/', Array)\n#1 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(129): Zend\\Expressive\\Router\\RouteCollector->route('/', Object(Zend\\Expressive\\Middleware\\LazyLoadingMiddleware), Array, 'petition.popier...')\n#2 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(141): Zend\\Expressive\\Application->route('/', 'Page\\\\Handler\\\\Pa...', Array, 'petition.popier...')\n#3 /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php(70): Zend\\Expressive\\Application->get('/', 'Page\\\\Handler\\\\Pa...', 'petition.popier...')\n#4 /var/www/appl in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 771
[Mon Jul 23 19:04:04.767869 2018] [php7:notice] [pid 2547] [client 192.168.0.45:38874] PHP Fatal error:  Uncaught Zend\\Expressive\\Router\\Exception\\DuplicateRouteException: Duplicate route detected; path "/" answering to methods [GET], with name "home" in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php:173\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php(71): Zend\\Expressive\\Router\\RouteCollector->checkForDuplicateRoute('/', Array)\n#1 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(129): Zend\\Expressive\\Router\\RouteCollector->route('/', Object(Zend\\Expressive\\Middleware\\LazyLoadingMiddleware), Array, 'petition.popier...')\n#2 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(141): Zend\\Expressive\\Application->route('/', 'Page\\\\Handler\\\\Pa...', Array, 'petition.popier...')\n#3 /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php(70): Zend\\Expressive\\Application->get('/', 'Page\\\\Handler\\\\Pa...', 'petition.popier...')\n#4 /var/www/appl in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 771
[Mon Jul 23 19:05:10.394531 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38880] PHP Fatal error:  Uncaught Zend\\Expressive\\Router\\Exception\\DuplicateRouteException: Duplicate route detected; path "/popieram[/]" answering to methods [GET], with name "petition.popieram" in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php:173\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php(71): Zend\\Expressive\\Router\\RouteCollector->checkForDuplicateRoute('/popieram[/]', Array)\n#1 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(129): Zend\\Expressive\\Router\\RouteCollector->route('/popieram[/]', Object(Zend\\Stratigility\\MiddlewarePipe), Array, 'spa.petition.ss...')\n#2 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(141): Zend\\Expressive\\Application->route('/popieram[/]', Array, Array, 'spa.petition.ss...')\n#3 /var/www/application/config/routes.php(109): Zend\\Expressive\\Application->get('/popieram[/]', Array, 'spa.petition.ss...')\n#4 /var/www/application/public/index.php(27): in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php on line 173
[Mon Jul 23 19:05:13.344393 2018] [php7:notice] [pid 2545] [client 192.168.0.45:38882] PHP Fatal error:  Uncaught Zend\\Expressive\\Router\\Exception\\DuplicateRouteException: Duplicate route detected; path "/popieram[/]" answering to methods [GET], with name "petition.popieram" in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php:173\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php(71): Zend\\Expressive\\Router\\RouteCollector->checkForDuplicateRoute('/popieram[/]', Array)\n#1 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(129): Zend\\Expressive\\Router\\RouteCollector->route('/popieram[/]', Object(Zend\\Stratigility\\MiddlewarePipe), Array, 'spa.petition.ss...')\n#2 /var/www/application/vendor/zendframework/zend-expressive/src/Application.php(141): Zend\\Expressive\\Application->route('/popieram[/]', Array, Array, 'spa.petition.ss...')\n#3 /var/www/application/config/routes.php(109): Zend\\Expressive\\Application->get('/popieram[/]', Array, 'spa.petition.ss...')\n#4 /var/www/application/public/index.php(27): in /var/www/application/vendor/zendframework/zend-expressive-router/src/RouteCollector.php on line 173
[Mon Jul 23 19:08:55.279954 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP Fatal error:  Dynamic class names are not allowed in compile-time ::class fetch in /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php on line 69
[Mon Jul 23 19:08:55.280053 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP Stack trace:
[Mon Jul 23 19:08:55.280157 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   1. {main}() /var/www/application/public/index.php:0
[Mon Jul 23 19:08:55.280213 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   2. {closure:/var/www/application/public/index.php:16-30}() /var/www/application/public/index.php:30
[Mon Jul 23 19:08:55.280264 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   3. Zend\\ServiceManager\\ServiceManager->get($name = *uninitialized*) /var/www/application/public/index.php:21
[Mon Jul 23 19:08:55.280318 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   4. Zend\\ServiceManager\\ServiceManager->doCreate($resolvedName = *uninitialized*, $options = *uninitialized*) /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:200
[Mon Jul 23 19:08:55.280391 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   5. Zend\\ServiceManager\\ServiceManager->createDelegatorFromName($name = *uninitialized*, $options = *uninitialized*) /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:766
[Mon Jul 23 19:08:55.280695 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   6. class_exists(*uninitialized*) /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:713
[Mon Jul 23 19:08:55.280767 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   7. spl_autoload_call(*uninitialized*) /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:713
[Mon Jul 23 19:08:55.280830 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   8. Composer\\Autoload\\ClassLoader->loadClass($class = *uninitialized*) /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:713
[Mon Jul 23 19:08:55.280880 2018] [php7:notice] [pid 2549] [client 192.168.0.45:38910] PHP   9. Composer\\Autoload\\includeFile($file = *uninitialized*) /var/www/application/vendor/composer/ClassLoader.php:322
[Mon Jul 23 19:09:23.382765 2018] [php7:notice] [pid 2545] [client 192.168.0.45:38912] PHP Fatal error:  Uncaught Zend\\ServiceManager\\Exception\\ServiceNotFoundException: Unable to resolve service "\\Common\\Handler\\ListHandler" to a factory; are you certain you provided it during configuration? in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:687\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php(763): Zend\\ServiceManager\\ServiceManager->getFactory('\\\\Common\\\\Handler...')\n#1 /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php(200): Zend\\ServiceManager\\ServiceManager->doCreate('\\\\Common\\\\Handler...')\n#2 /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php(69): Zend\\ServiceManager\\ServiceManager->get('\\\\Common\\\\Handler...')\n#3 /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php(738): Common\\Application\\Factory\\PipelineAndRoutesDelegator->__invoke(Object(Zend\\ServiceManager\\ServiceManager), 'Zend\\\\Expressive...', Object(Closure), N in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 687
[Mon Jul 23 19:09:50.179377 2018] [php7:notice] [pid 2548] [client 192.168.0.45:38914] PHP Fatal error:  Uncaught Zend\\ServiceManager\\Exception\\ServiceNotFoundException: Unable to resolve service "\\Common\\Handler\\ListHandler" to a factory; are you certain you provided it during configuration? in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php:687\nStack trace:\n#0 /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php(763): Zend\\ServiceManager\\ServiceManager->getFactory('\\\\Common\\\\Handler...')\n#1 /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php(200): Zend\\ServiceManager\\ServiceManager->doCreate('\\\\Common\\\\Handler...')\n#2 /var/www/application/src/Common/src/Application/Factory/PipelineAndRoutesDelegator.php(69): Zend\\ServiceManager\\ServiceManager->get('\\\\Common\\\\Handler...')\n#3 /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php(738): Common\\Application\\Factory\\PipelineAndRoutesDelegator->__invoke(Object(Zend\\ServiceManager\\ServiceManager), 'Zend\\\\Expressive...', Object(Closure), N in /var/www/application/vendor/zendframework/zend-servicemanager/src/ServiceManager.php on line 687
